name,Calories,Fibre,Sugars,Fat,Salt,Protein
Moong Dal Soup,120,6,2,2,0.5,8
Tomato Rasam,60,2,3,1,0.8,2
Moong Dal Khichdi,250,5,2,5,1.0,10
Oats Kanji (Porridge),150,4,1,3,0.2,5
Chicken Broth,70,0,0,2,1.2,12
Dalia (Broken Wheat),180,7,2,2,0.3,6
Oats Idli (2 pieces),120,3,1,2,0.4,4
Poha with Peanuts,220,2,2,6,0.6,5
Vegetable Upma,200,3,2,5,0.5,4
Ragi Dosa,130,4,1,3,0.4,3
Moong Dal Chilla,150,3,1,4,0.5,7
Besan Chilla,160,3,1,4,0.5,6
Methi Thepla (2 pieces),180,2,1,6,0.6,4
Palak Paneer (Low Fat),210,4,3,12,0.8,14
Whole Wheat Roti (2 pieces),140,4,1,1,0.1,4
Brown Rice (1 bowl),210,3,1,2,0.0,5
Mixed Veg Curry,160,5,4,7,0.7,3
Bhindi Masala (Okra),140,4,3,6,0.6,3
Grilled Chicken Tikka,220,1,2,8,1.1,28
Fish Curry (Mustard Base),240,1,2,10,1.0,22
Chana Masala (Chickpeas),260,9,4,8,0.8,12
Rajma (Kidney Beans),250,8,3,7,0.8,11
Quinoa Veg Pulao,220,5,2,6,0.5,8
Soya Chunk Curry,190,6,3,5,0.7,18
Lauki (Bottle Gourd) Sabzi,90,3,2,3,0.4,2
Baingan Bharta (Eggplant),130,5,4,6,0.6,3
Roasted Makhana (Fox Nuts),100,2,1,3,0.2,3
Sprouted Moong Salad,120,4,2,1,0.3,8
Cucumber Raita,80,1,3,2,0.3,4
Roasted Chana,140,5,1,2,0.2,7
Boiled Egg (1 large),70,0,0,5,0.1,6
"Fruit Bowl (Papaya, Apple, Guava)",110,5,18,0,0.0,1
